train_loss,val_loss
-10.749270787365669,-9.252113648732504
-10.741131647892054,-9.259092787424724
-10.754074950176003,-9.283293914794921
-10.74500922034272,-9.27806369336446
-10.734836402938077,-9.251230643590292
-10.741197602432386,-9.240793984731038
-10.735925573219593,-9.254375428835552
-10.740829622414964,-9.267554271062215
-10.743125177878547,-9.300254865964254
-10.745465485058,-9.231188609759013
-10.747379085912113,-9.248517589569092
-10.746283075000685,-9.249344035784404
-10.740643495317757,-9.249820520718892
-10.743726899476178,-9.2850658715566
-10.737955049160307,-9.274542896906535
-10.75374463112305,-9.266058530171712
-10.751684452833327,-9.229608425776163
-10.74425066196813,-9.230090401649475
